user_id,title,description,instock,quantity,price
90,Mediterranean Olives,A mix of brined Mediterranean olives for snacking.,true,136,23600.52
69,Bike Repair Tool Kit,Essential tools for bike maintenance and repair.,false,305,333.44
91,Wireless Charger,Qi-certified wireless charger for fast charging.,false,360,182.27
97,Classic Caesar Dressing,Rich and creamy Caesar dressing for salads and wraps.,true,167,53839.0
90,Pasta Primavera Kit,Quick meal kit with pasta and fresh vegetables.,false,99,21303.97
21,Almond Butter,Creamy almond butter made from roasted almonds.,false,400,25584.47
33,Multi-Tool,Versatile multi-tool with 15 different functions.,true,286,10328.59
69,Instant Camera,Retro instant camera for capturing and printing photos instantly.,false,35,57939.65
24,Ceramic Planter Set,Set of decorative ceramic planters for indoor plants.,true,363,30045.6
69,Peach Halves (canned),"Sweet peach halves packed in juice, great for desserts.",true,349,15096.84
59,Honey mustard chicken tenders,Golden crispy chicken tenders coated with honey mustard flavor.,false,289,3794.33
89,Ground Turkey,"Lean and versatile ground turkey, perfect for various dishes.",true,336,16131.72
90,Emergency Preparedness Kit,Complete kit for emergency situations including food and water.,true,189,10629.97
90,Yoga Wheel,Supportive yoga wheel for deep stretching and balance.,false,568,18750.64
34,Digital Wireless Camera,Secure digital wireless security camera system.,true,129,33433.02
67,Cilantro Lime Rice,"Easy-to-prepare rice with cilantro and lime flavors, great as a side.",true,79,29832.51
85,Grilled Vegetable Medley,"A mix of grilled vegetables, ready to heat for quick side dishes.",false,178,55581.85
69,Lightweight Rain Jacket,"Water-resistant jacket ideal for outdoor activities, featuring a packable design.",false,291,58141.42
69,Basmati Rice,"Aromatic long-grain basmati rice, perfect for curries.",true,56,27951.99
24,Fitness Jump Rope with LCD Counter,Weighted jump rope that counts jumps and calories burned.,false,439,31028.71
48,Whole Wheat Pita Bread,"Soft and fluffy whole wheat pita bread, great for wraps.",false,537,27813.37
84,Coconut Curry Sauce,A flavorful sauce made with coconut milk and spices.,true,77,41693.38
30,Fitness Activity Journal,Journal to record workouts and nutrition.,true,390,49022.84
36,Digital Food Scale,Precision digital scale for accurate cooking measurements.,false,99,4588.44
95,Breezy Off-The-Shoulder Top,A light and breezy top ideal for warm days.,true,301,23164.91
100,Vegan Protein Powder,Plant-based protein powder for post-workout recovery.,true,116,59769.83
66,Strawberry Banana Smoothie Pack,Frozen smoothie pack with strawberries and bananas.,false,592,23278.9
91,Nut Mix,A blend of mixed nuts for snacking.,false,521,56920.57
67,Chickpea Flour,"Gluten-free flour made from ground chickpeas, great for cooking.",false,454,19613.52
32,Butternut Squash Soup,"Creamy and delicious soup made with real butternut squash, ready to heat.",true,47,12158.78
45,Silicone Baking Mat,Non-stick baking mat for easy cooking and cleanup.,true,585,41767.0
93,Foot Massager,Electric foot massager with heat settings.,true,30,48828.56
43,Fitness Resistance Bands Kit,Set with various resistance bands for workouts.,false,24,38010.08
26,Wireless Earbud Silicone Covers,Soft silicone earbud covers for comfort and fit.,true,495,15631.58
21,Legging Pants,Comfortable and stretchy legging pants perfect for workouts or daily wear.,true,132,14763.64
